,px,normal duck egg,all
241,0.24124124124124124,0.9560185185185185,0.9560185185185185
242,0.24224224224224225,0.9560185185185185,0.9560185185185185
243,0.24324324324324323,0.9560185185185185,0.9560185185185185
244,0.24424424424424424,0.9560185185185185,0.9560185185185185
245,0.24524524524524524,0.9560185185185185,0.9560185185185185
246,0.24624624624624625,0.9560185185185185,0.9560185185185185
247,0.24724724724724725,0.9560185185185185,0.9560185185185185
248,0.24824824824824826,0.9560185185185185,0.9560185185185185
249,0.24924924924924924,0.9560185185185185,0.9560185185185185
250,0.2502502502502503,0.9550561797752809,0.9550561797752809
251,0.25125125125125125,0.9550561797752809,0.9550561797752809
252,0.25225225225225223,0.9550561797752809,0.9550561797752809
253,0.25325325325325326,0.9550561797752809,0.9550561797752809
254,0.25425425425425424,0.9550561797752809,0.9550561797752809
255,0.2552552552552553,0.9550561797752809,0.9550561797752809
256,0.25625625625625625,0.9550561797752809,0.9550561797752809
257,0.25725725725725723,0.953125,0.953125
258,0.25825825825825827,0.9525862068965517,0.9525862068965517
259,0.25925925925925924,0.9525862068965517,0.9525862068965517
260,0.2602602602602603,0.9525862068965517,0.9525862068965517
261,0.26126126126126126,0.9525862068965517,0.9525862068965517
262,0.26226226226226224,0.9525862068965517,0.9525862068965517
263,0.26326326326326327,0.9525862068965517,0.9525862068965517
264,0.26426426426426425,0.9525862068965517,0.9525862068965517
265,0.2652652652652653,0.9525862068965517,0.9525862068965517
266,0.26626626626626626,0.9525862068965517,0.9525862068965517
267,0.26726726726726724,0.9521829521829522,0.9521829521829522
268,0.2682682682682683,0.9521829521829522,0.9521829521829522
269,0.26926926926926925,0.9521829521829522,0.9521829521829522
270,0.2702702702702703,0.9521829521829522,0.9521829521829522
271,0.27127127127127126,0.9521829521829522,0.9521829521829522
272,0.27227227227227224,0.9521829521829522,0.9521829521829522
273,0.2732732732732733,0.9521829521829522,0.9521829521829522
274,0.27427427427427425,0.9521829521829522,0.9521829521829522
275,0.2752752752752753,0.9521829521829522,0.9521829521829522
276,0.27627627627627627,0.9521829521829522,0.9521829521829522
277,0.2772772772772773,0.9516129032258065,0.9516129032258065
278,0.2782782782782783,0.9516129032258065,0.9516129032258065
279,0.27927927927927926,0.9516129032258065,0.9516129032258065
280,0.2802802802802803,0.9516129032258065,0.9516129032258065
281,0.28128128128128127,0.9516129032258065,0.9516129032258065
282,0.2822822822822823,0.9516129032258065,0.9516129032258065
283,0.2832832832832833,0.9516129032258065,0.9516129032258065
284,0.28428428428428426,0.9516129032258065,0.9516129032258065
285,0.2852852852852853,0.951171875,0.951171875
286,0.2862862862862863,0.951171875,0.951171875
287,0.2872872872872873,0.951171875,0.951171875
288,0.2882882882882883,0.951171875,0.951171875
289,0.28928928928928926,0.951171875,0.951171875
290,0.2902902902902903,0.951171875,0.951171875
291,0.2912912912912913,0.951171875,0.951171875
292,0.2922922922922923,0.951171875,0.951171875
293,0.2932932932932933,0.951171875,0.951171875
294,0.29429429429429427,0.9496124031007752,0.9496124031007752
295,0.2952952952952953,0.9496124031007752,0.9496124031007752
296,0.2962962962962963,0.9485714285714286,0.9485714285714286
297,0.2972972972972973,0.9485714285714286,0.9485714285714286
298,0.2982982982982983,0.9485714285714286,0.9485714285714286
299,0.29929929929929927,0.9485714285714286,0.9485714285714286
300,0.3003003003003003,0.9485714285714286,0.9485714285714286
301,0.3013013013013013,0.945179584120983,0.945179584120983
302,0.3023023023023023,0.9442379182156134,0.9442379182156134
303,0.3033033033033033,0.9442379182156134,0.9442379182156134
304,0.30430430430430433,0.9442379182156134,0.9442379182156134
305,0.3053053053053053,0.9442379182156134,0.9442379182156134
306,0.3063063063063063,0.9442379182156134,0.9442379182156134
307,0.3073073073073073,0.9418181818181818,0.9418181818181818
308,0.3083083083083083,0.9418181818181818,0.9418181818181818
309,0.30930930930930933,0.9418181818181818,0.9418181818181818
310,0.3103103103103103,0.9418181818181818,0.9418181818181818
311,0.3113113113113113,0.9418181818181818,0.9418181818181818
312,0.3123123123123123,0.9418181818181818,0.9418181818181818
313,0.3133133133133133,0.9402173913043478,0.9402173913043478
314,0.31431431431431434,0.9391771019677997,0.9391771019677997
315,0.3153153153153153,0.9391771019677997,0.9391771019677997
316,0.3163163163163163,0.9391771019677997,0.9391771019677997
317,0.3173173173173173,0.9376114081996435,0.9376114081996435
318,0.3183183183183183,0.9333333333333333,0.9333333333333333
319,0.31931931931931934,0.9333333333333333,0.9333333333333333
