,px,normal duck egg,all
875,0.8758758758758759,0.7269539078156313,0.7269539078156313
876,0.8768768768768769,0.7232453957192633,0.7232453957192633
877,0.8778778778778779,0.7208725830441249,0.7208725830441249
878,0.8788788788788788,0.7200791295746786,0.7200791295746786
879,0.8798798798798799,0.7185805815672746,0.7185805815672746
880,0.8808808808808809,0.7173058013765978,0.7173058013765978
881,0.8818818818818819,0.7142159257449927,0.7142159257449927
882,0.8828828828828829,0.7136585365853658,0.7136585365853658
883,0.8838838838838838,0.7127555988315482,0.7127555988315482
884,0.8848848848848849,0.7109602327837051,0.7109602327837051
885,0.8858858858858859,0.7095215079748671,0.7095215079748671
886,0.8868868868868869,0.7094594594594594,0.7094594594594594
887,0.8878878878878879,0.7092574734811957,0.7092574734811957
888,0.8888888888888888,0.7054597701149425,0.7054597701149425
889,0.8898898898898899,0.7032442748091603,0.7032442748091603
890,0.8908908908908909,0.701329534662868,0.701329534662868
891,0.8918918918918919,0.701329534662868,0.701329534662868
892,0.8928928928928929,0.701280227596017,0.701280227596017
893,0.8938938938938938,0.6992445703493863,0.6992445703493863
894,0.8948948948948949,0.6983977379830348,0.6983977379830348
895,0.8958958958958959,0.6971830985915493,0.6971830985915493
896,0.8968968968968969,0.6948598130841122,0.6948598130841122
897,0.8978978978978979,0.6948598130841122,0.6948598130841122
898,0.8988988988988988,0.6923791821561338,0.6923791821561338
899,0.8998998998998999,0.6917014371812703,0.6917014371812703
900,0.9009009009009009,0.6917014371812703,0.6917014371812703
901,0.9019019019019019,0.6907073509015257,0.6907073509015257
902,0.9029029029029029,0.6862385321100918,0.6862385321100918
903,0.9039039039039038,0.6854395604395604,0.6854395604395604
904,0.9049049049049049,0.6841624828845276,0.6841624828845276
905,0.9059059059059059,0.6752136752136753,0.6752136752136753
906,0.9069069069069069,0.6720357941834452,0.6720357941834452
907,0.9079079079079079,0.6690391459074733,0.6690391459074733
908,0.9089089089089089,0.6649006622516557,0.6649006622516557
909,0.9099099099099099,0.6627088830255057,0.6627088830255057
910,0.9109109109109109,0.6586643387167176,0.6586643387167176
911,0.9119119119119119,0.6578145407052678,0.6578145407052678
912,0.9129129129129129,0.6568201563857515,0.6568201563857515
913,0.9139139139139139,0.653713298791019,0.653713298791019
914,0.914914914914915,0.6462063086104007,0.6462063086104007
915,0.9159159159159159,0.6436440677966102,0.6436440677966102
916,0.9169169169169169,0.6436440677966102,0.6436440677966102
917,0.9179179179179179,0.6390756302521008,0.6390756302521008
918,0.9189189189189189,0.6384228187919463,0.6384228187919463
919,0.91991991991992,0.6313173156586578,0.6313173156586578
920,0.9209209209209209,0.6287597857437165,0.6287597857437165
921,0.9219219219219219,0.6227569331158238,0.6227569331158238
922,0.9229229229229229,0.621292157659488,0.621292157659488
