,px,normal duck egg,all
916,0.9169169169169169,0.6885171790235082,0.6885171790235082
917,0.9179179179179179,0.6885171790235082,0.6885171790235082
918,0.9189189189189189,0.6885171790235082,0.6885171790235082
919,0.91991991991992,0.6880361173814898,0.6880361173814898
920,0.9209209209209209,0.6878378378378378,0.6878378378378378
921,0.9219219219219219,0.6878378378378378,0.6878378378378378
922,0.9229229229229229,0.6864064602960969,0.6864064602960969
923,0.9239239239239239,0.6850111856823267,0.6850111856823267
924,0.924924924924925,0.6845397676496873,0.6845397676496873
925,0.9259259259259259,0.6828291814946619,0.6828291814946619
926,0.9269269269269269,0.6828291814946619,0.6828291814946619
927,0.9279279279279279,0.6797877045555064,0.6797877045555064
928,0.9289289289289289,0.6794701986754967,0.6794701986754967
929,0.92992992992993,0.6778169014084507,0.6778169014084507
930,0.9309309309309309,0.6772068511198946,0.6772068511198946
931,0.9319319319319319,0.6707211120764552,0.6707211120764552
932,0.9329329329329329,0.6697009102730819,0.6697009102730819
933,0.933933933933934,0.6645189003436426,0.6645189003436426
934,0.934934934934935,0.6619718309859155,0.6619718309859155
935,0.9359359359359359,0.6619718309859155,0.6619718309859155
936,0.9369369369369369,0.660569970225436,0.660569970225436
937,0.9379379379379379,0.6590330788804071,0.6590330788804071
938,0.938938938938939,0.6584849767245028,0.6584849767245028
939,0.93993993993994,0.65766146053187,0.65766146053187
940,0.9409409409409409,0.6547669046619068,0.6547669046619068
941,0.9419419419419419,0.6535400083787181,0.6535400083787181
942,0.9429429429429429,0.6508333333333334,0.6508333333333334
943,0.943943943943944,0.6433566433566433,0.6433566433566433
944,0.944944944944945,0.642974527526705,0.642974527526705
945,0.9459459459459459,0.6336433481601293,0.6336433481601293
946,0.9469469469469469,0.6273490603758497,0.6273490603758497
947,0.9479479479479479,0.6210443037974683,0.6210443037974683
948,0.948948948948949,0.6159874608150471,0.6159874608150471
949,0.94994994994995,0.61484375,0.61484375
950,0.950950950950951,0.6142745709828393,0.6142745709828393
951,0.9519519519519519,0.6110034870205346,0.6110034870205346
952,0.9529529529529529,0.6070742022299116,0.6070742022299116
953,0.953953953953954,0.6049004594180705,0.6049004594180705
954,0.954954954954955,0.5992424242424242,0.5992424242424242
955,0.955955955955956,0.5877551020408164,0.5877551020408164
956,0.9569569569569569,0.5866025166543302,0.5866025166543302
957,0.9579579579579579,0.581958195819582,0.581958195819582
958,0.958958958958959,0.5763511062749366,0.5763511062749366
959,0.95995995995996,0.5725603168887289,0.5725603168887289
960,0.960960960960961,0.5621468926553672,0.5621468926553672
961,0.9619619619619619,0.5271164021164021,0.5271164021164021
962,0.9629629629629629,0.5250164581961817,0.5250164581961817
963,0.963963963963964,0.5246386333771353,0.5246386333771353
964,0.964964964964965,0.5126724414501123,0.5126724414501123
965,0.965965965965966,0.5048911328494793,0.5048911328494793
966,0.9669669669669669,0.5034569453174105,0.5034569453174105
967,0.9679679679679679,0.5031387319522913,0.5031387319522913
968,0.968968968968969,0.4924823565510893,0.4924823565510893
969,0.96996996996997,0.46231300345224396,0.46231300345224396
970,0.970970970970971,0.45982270517586504,0.45982270517586504
971,0.9719719719719719,0.4395304395304395,0.4395304395304395
972,0.9729729729729729,0.4382816748232735,0.4382816748232735
973,0.973973973973974,0.43001866169021596,0.43001866169021596
974,0.974974974974975,0.4225536368393511,0.4225536368393511
975,0.975975975975976,0.40425,0.40425
976,0.9769769769769769,0.3880095923261391,0.3880095923261391
977,0.9779779779779779,0.3800140745953554,0.3800140745953554
978,0.978978978978979,0.3564835164835165,0.3564835164835165
979,0.97997997997998,0.34918244406196214,0.34918244406196214
980,0.980980980980981,0.3085247769128536,0.3085247769128536
981,0.9819819819819819,0.29517416545718433,0.29517416545718433
982,0.9829829829829829,0.29343907714491707,0.29343907714491707
983,0.983983983983984,0.27916821217588855,0.27916821217588855
984,0.984984984984985,0.2617201989148959,0.2617201989148959
985,0.985985985985986,0.2442721856539032,0.2442721856539032
986,0.986986986986987,0.22682417239291053,0.22682417239291053
987,0.9879879879879879,0.20937615913191787,0.20937615913191787
988,0.988988988988989,0.19192814587092327,0.19192814587092327
989,0.98998998998999,0.1744801326099306,0.1744801326099306
990,0.990990990990991,0.1570321193489379,0.1570321193489379
991,0.991991991991992,0.13958410608794525,0.13958410608794525
992,0.992992992992993,0.12213609282695065,0.12213609282695065
993,0.993993993993994,0.10468807956595796,0.10468807956595796
994,0.994994994994995,0.08724006630496528,0.08724006630496528
995,0.995995995995996,0.06979205304397262,0.06979205304397262
996,0.996996996996997,0.05234403978297994,0.05234403978297994
997,0.997997997997998,0.03489602652198534,0.03489602652198534
998,0.998998998998999,0.017448013260992656,0.017448013260992656
999,1.0,0.0,0.0
