,px,normal duck egg,all
661,0.6616616616616616,0.9235294117647059,0.9235294117647059
662,0.6626626626626626,0.9235294117647059,0.9235294117647059
663,0.6636636636636637,0.9228187919463087,0.9228187919463087
664,0.6646646646646647,0.9224353628023353,0.9224353628023353
665,0.6656656656656657,0.9224353628023353,0.9224353628023353
666,0.6666666666666666,0.9224353628023353,0.9224353628023353
667,0.6676676676676676,0.9224353628023353,0.9224353628023353
668,0.6686686686686687,0.9210307564422278,0.9210307564422278
669,0.6696696696696697,0.9188069594034797,0.9188069594034797
670,0.6706706706706707,0.9183841714756801,0.9183841714756801
671,0.6716716716716716,0.9183841714756801,0.9183841714756801
672,0.6726726726726726,0.9183841714756801,0.9183841714756801
673,0.6736736736736737,0.9178981937602627,0.9178981937602627
674,0.6746746746746747,0.9178981937602627,0.9178981937602627
675,0.6756756756756757,0.9178861788617886,0.9178861788617886
676,0.6766766766766766,0.9178861788617886,0.9178861788617886
677,0.6776776776776777,0.9178861788617886,0.9178861788617886
678,0.6786786786786787,0.9178861788617886,0.9178861788617886
679,0.6796796796796797,0.9178861788617886,0.9178861788617886
680,0.6806806806806807,0.9178861788617886,0.9178861788617886
681,0.6816816816816816,0.9178861788617886,0.9178861788617886
682,0.6826826826826827,0.9174679487179487,0.9174679487179487
683,0.6836836836836837,0.9174679487179487,0.9174679487179487
684,0.6846846846846847,0.9174679487179487,0.9174679487179487
685,0.6856856856856857,0.9174679487179487,0.9174679487179487
686,0.6866866866866866,0.9174679487179487,0.9174679487179487
687,0.6876876876876877,0.9174679487179487,0.9174679487179487
688,0.6886886886886887,0.9174679487179487,0.9174679487179487
689,0.6896896896896897,0.9174679487179487,0.9174679487179487
690,0.6906906906906907,0.9174679487179487,0.9174679487179487
691,0.6916916916916916,0.9169329073482428,0.9169329073482428
692,0.6926926926926927,0.9169329073482428,0.9169329073482428
693,0.6936936936936937,0.9164677804295943,0.9164677804295943
694,0.6946946946946947,0.9164677804295943,0.9164677804295943
695,0.6956956956956957,0.9160063391442155,0.9160063391442155
696,0.6966966966966966,0.9160063391442155,0.9160063391442155
697,0.6976976976976977,0.9160063391442155,0.9160063391442155
698,0.6986986986986987,0.915748031496063,0.915748031496063
699,0.6996996996996997,0.915748031496063,0.915748031496063
700,0.7007007007007007,0.915748031496063,0.915748031496063
701,0.7017017017017017,0.915748031496063,0.915748031496063
702,0.7027027027027027,0.9152276295133438,0.9152276295133438
703,0.7037037037037037,0.9152276295133438,0.9152276295133438
704,0.7047047047047047,0.914576802507837,0.914576802507837
705,0.7057057057057057,0.9111457521434139,0.9111457521434139
706,0.7067067067067067,0.9107142857142857,0.9107142857142857
707,0.7077077077077077,0.9107142857142857,0.9107142857142857
708,0.7087087087087087,0.9094427244582043,0.9094427244582043
709,0.7097097097097097,0.9088098918083463,0.9088098918083463
710,0.7107107107107107,0.9087423312883436,0.9087423312883436
711,0.7117117117117117,0.9087423312883436,0.9087423312883436
712,0.7127127127127127,0.9087423312883436,0.9087423312883436
713,0.7137137137137137,0.9087423312883436,0.9087423312883436
714,0.7147147147147147,0.9087423312883436,0.9087423312883436
715,0.7157157157157157,0.9081866870696251,0.9081866870696251
716,0.7167167167167167,0.9081866870696251,0.9081866870696251
717,0.7177177177177178,0.9078549848942599,0.9078549848942599
718,0.7187187187187187,0.9078549848942599,0.9078549848942599
719,0.7197197197197197,0.9078549848942599,0.9078549848942599
720,0.7207207207207207,0.9078549848942599,0.9078549848942599
721,0.7217217217217217,0.9078549848942599,0.9078549848942599
722,0.7227227227227228,0.9078549848942599,0.9078549848942599
723,0.7237237237237237,0.9078549848942599,0.9078549848942599
724,0.7247247247247247,0.9078549848942599,0.9078549848942599
725,0.7257257257257257,0.9078549848942599,0.9078549848942599
726,0.7267267267267267,0.9069767441860465,0.9069767441860465
727,0.7277277277277278,0.9069767441860465,0.9069767441860465
728,0.7287287287287287,0.9069767441860465,0.9069767441860465
729,0.7297297297297297,0.9069767441860465,0.9069767441860465
730,0.7307307307307307,0.905829596412556,0.905829596412556
731,0.7317317317317317,0.905829596412556,0.905829596412556
732,0.7327327327327328,0.9047619047619048,0.9047619047619048
733,0.7337337337337337,0.9047619047619048,0.9047619047619048
734,0.7347347347347347,0.9041604754829123,0.9041604754829123
735,0.7357357357357357,0.9039172209903917,0.9039172209903917
736,0.7367367367367368,0.9039172209903917,0.9039172209903917
737,0.7377377377377378,0.9039172209903917,0.9039172209903917
738,0.7387387387387387,0.9033923303834809,0.9033923303834809
739,0.7397397397397397,0.9014705882352941,0.9014705882352941
740,0.7407407407407407,0.900953778429934,0.900953778429934
741,0.7417417417417418,0.8997071742313324,0.8997071742313324
