                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2107,                 1.3552,                 1.2273,                 0.5914,                0.55588,                 0.5306,                0.38704,                 1.1169,                 1.3562,                 1.1291,              0.0095333,              0.0095333,              0.0095333
                     35,                  1.187,                 1.3447,                 1.2166,                 0.6147,                0.56262,                0.54136,                 0.3906,                 1.1399,                 1.3483,                 1.1369,              0.0095191,              0.0095191,              0.0095191
                     36,                  1.152,                 1.2765,                 1.1926,                0.61116,                 0.5471,                0.53718,                0.38802,                 1.1432,                 1.3685,                 1.1425,               0.009505,               0.009505,               0.009505
                     37,                 1.1518,                 1.2423,                 1.1948,                0.61937,                0.55918,                 0.5417,                0.39906,                 1.1116,                 1.2897,                 1.1156,              0.0094909,              0.0094909,              0.0094909
                     38,                 1.1328,                 1.2302,                 1.1828,                 0.5739,                0.55495,                0.53048,                 0.3854,                 1.1182,                 1.4789,                 1.1233,              0.0094767,              0.0094767,              0.0094767
                     39,                 1.1251,                 1.2147,                 1.1796,                0.63097,                0.54721,                0.56336,                0.41616,                 1.0821,                   1.32,                 1.0993,              0.0094626,              0.0094626,              0.0094626
                     40,                 1.1057,                 1.2182,                 1.1667,                0.60059,                0.56884,                0.55842,                0.41217,                 1.0793,                 1.2974,                 1.1079,              0.0094484,              0.0094484,              0.0094484
                     41,                 1.0975,                 1.1922,                 1.1655,                0.53917,                 0.5628,                 0.5053,                0.36229,                 1.1646,                 1.4141,                 1.1523,              0.0094343,              0.0094343,              0.0094343
                     42,                 1.1024,                 1.1907,                 1.1589,                0.60136,                 0.5628,                0.55288,                0.40217,                 1.1353,                 1.3133,                 1.1303,              0.0094201,              0.0094201,              0.0094201
                     43,                 1.1021,                 1.1911,                 1.1616,                0.59724,                0.57576,                0.56777,                0.42058,                 1.0684,                 1.3575,                 1.0973,               0.009406,               0.009406,               0.009406
                     44,                 1.0856,                 1.1678,                 1.1499,                0.57278,                0.57367,                0.55875,                 0.4099,                 1.0881,                 1.3637,                 1.1013,              0.0093919,              0.0093919,              0.0093919
                     45,                 1.0645,                 1.1467,                 1.1413,                0.57022,                0.60811,                0.55667,                0.40772,                 1.0842,                 1.3735,                 1.0973,              0.0093777,              0.0093777,              0.0093777
                     46,                 1.0526,                 1.1164,                 1.1346,                0.56225,                0.57548,                0.54753,                0.40161,                 1.0896,                 1.2808,                 1.0981,              0.0093636,              0.0093636,              0.0093636
                     47,                 1.0799,                  1.151,                 1.1534,                0.59577,                0.58635,                0.57948,                0.42072,                  1.069,                 1.2777,                  1.094,              0.0093494,              0.0093494,              0.0093494
                     48,                 1.0391,                 1.1172,                 1.1319,                0.61134,                0.60266,                0.57755,                0.41577,                 1.1015,                 1.2977,                 1.1133,              0.0093353,              0.0093353,              0.0093353
                     49,                 1.0333,                 1.1045,                 1.1295,                0.60151,                0.58937,                0.57997,                 0.4293,                 1.0653,                 1.3107,                 1.0946,              0.0093211,              0.0093211,              0.0093211
