                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4556,                 4.0865,                 4.0236,                0.00152,                0.17089,                0.00129,                0.00036,                 3.2414,                 4.5277,                 3.8717,             0.00066265,             0.00066265,             0.00066265
                      2,                 3.1523,                 3.9048,                 3.4352,                0.00151,                0.17029,                0.00121,                0.00042,                 3.2425,                 4.2663,                 3.3688,               0.001323,               0.001323,               0.001323
                      3,                 3.1089,                 3.8416,                 3.2175,                0.00178,                0.20109,                 0.0011,                0.00035,                 3.2953,                 4.2703,                 3.3656,              0.0019769,              0.0019769,              0.0019769
                      4,                 3.0762,                 3.8408,                 3.1299,                0.00132,                0.14855,                0.00095,                0.00034,                 3.1906,                 4.3089,                 3.2708,              0.0019713,              0.0019713,              0.0019713
                      5,                 3.0379,                 3.8204,                 3.0661,                0.00125,                 0.1407,                0.00104,                0.00034,                 3.2646,                 4.1804,                 3.2533,              0.0019617,              0.0019617,              0.0019617
                      6,                 2.9472,                 3.7804,                  2.967,                 0.0019,                0.21377,                0.00153,                0.00051,                 3.1832,                 4.2219,                 3.1843,              0.0019522,              0.0019522,              0.0019522
                      7,                 2.9364,                 3.8021,                 2.9156,                0.00153,                 0.1721,                0.00124,                0.00045,                 3.2409,                 4.1111,                 3.1836,              0.0019426,              0.0019426,              0.0019426
